schema_version,model,seed,season,week,slot,recommended,recommended_lam,early,hold,hold_alternative,hold_alternative_cost,premium
1,cal-level-pooled,-1,2016,1,FLEX,00-0026986,0.597950525591,False,False,,,0.1
1,cal-level-pooled,-1,2016,1,QB,00-0031280,2.31228599491,False,False,,,0.1
1,cal-level-pooled,-1,2016,1,RB,00-0031897,0.517257823827,False,False,,,0.1
1,cal-level-pooled,-1,2016,2,FLEX,00-0031235,0.802773209145,False,False,,,0.1
1,cal-level-pooled,-1,2016,2,QB,00-0022803,2.7946039687,False,False,,,0.1
1,cal-level-pooled,-1,2016,2,RB,00-0029854,0.591687977373,False,False,,,0.1
1,cal-level-pooled,-1,2016,3,FLEX,00-0026986,0.569583927814,False,False,,,0.1
1,cal-level-pooled,-1,2016,3,QB,00-0023459,2.31314026471,False,False,,,0.1
1,cal-level-pooled,-1,2016,3,RB,00-0032144,0.507784044458,False,False,,,0.1
1,cal-level-pooled,-1,2016,4,FLEX,00-0030472,0.569380586535,False,False,,,0.1
1,cal-level-pooled,-1,2016,4,QB,00-0029604,2.05297304197,False,False,,,0.1
1,cal-level-pooled,-1,2016,4,RB,00-0032144,0.650622365771,False,False,,,0.1
1,cal-level-pooled,-1,2016,5,FLEX,00-0030472,0.684180665493,False,False,,,0.1
1,cal-level-pooled,-1,2016,5,QB,00-0019596,2.30104816057,False,False,,,0.1
1,cal-level-pooled,-1,2016,5,RB,00-0023500,0.577611538013,False,False,,,0.1
1,cal-level-pooled,-1,2016,6,FLEX,00-0031235,0.598931632997,False,False,,,0.1
1,cal-level-pooled,-1,2016,6,QB,00-0031407,1.98015109496,False,False,,,0.1
1,cal-level-pooled,-1,2016,6,RB,00-0027029,0.641503320665,False,False,,,0.1
1,cal-level-pooled,-1,2016,7,FLEX,00-0027942,0.58331925973,False,False,,,0.1
1,cal-level-pooled,-1,2016,7,QB,00-0029604,2.03113421366,False,False,,,0.1
1,cal-level-pooled,-1,2016,7,RB,00-0028009,0.811427711182,False,False,,,0.1
1,cal-level-pooled,-1,2016,8,FLEX,00-0030564,0.560764541299,False,False,,,0.1
1,cal-level-pooled,-1,2016,8,QB,00-0029668,2.06205538639,False,False,,,0.1
1,cal-level-pooled,-1,2016,8,RB,00-0030432,0.640006648204,False,False,,,0.1
